id;title;isbn;author_token;genre;year;rented
1;Handmade Cotton Table CSS;Mayotte Dynamic SAS;digital forecast Bahrain;THRILLER;synthesizing Director Concrete;false
2;Pass;generate;Designer calculating;THRILLER;Texas auxiliary;true
3;Cotton Representative software;Bedfordshire calculating Toys;connecting;THRILLER;FTP Points;true
4;markets;ivory Mouse;programming Licensed Plastic Bacon Consultant;THRILLER;Port turn-key Australian Dollar;false
5;Shoes transmitting grow;Practical Granite Chicken;generate Health deposit;THRILLER;Chicken indigo;false
6;Producer hard drive;mobile Product programming;Checking Account Industrial;THRILLER;channels;false
7;Sharable Shoes;Director payment Cocos (Keeling) Islands;primary interface;THRILLER;Supervisor;true
8;payment Books Oklahoma;Antigua and Barbuda Station;interface calculate Zloty;THRILLER;USB Andorra;false
9;Cambridgeshire;circuit Planner optical;HDD Arkansas;FANTASY;deposit;false
10;Surinam Dollar interfaces bus;Assistant Pataca;networks engineer;THRILLER;Checking Account;false
